area,district,info,price,title
58.46,东城,[东城]崇文门新景家园西区｜58.46㎡｜1室1厅1厨1卫｜南,98357,崇文门新景家园西区南1室
93.74,海淀,[海淀]上地枫润家园｜93.74㎡｜2室1厅1厨1卫｜南北,86409,新 不临街大两居 带电梯 满五年  保养好 位置安静
213.76,海淀,[海淀]西二旗领秀新硅谷｜213.76㎡｜4室2厅1厨3卫｜南北,69236,领秀新硅谷A区 中叠拼 带50平地下室 采光充足
179,海淀,[海淀]世纪城远大园四区｜179㎡｜4室2厅1厨2卫｜南西,86592,通透四居，双明卫，欢迎实地品鉴
297,海淀,[海淀]清河橡树湾｜297㎡｜5室2厅1厨3卫｜东南北,97643,橡树湾五期 正规五居室 高楼层 前后无遮挡，一梯一户
102,海淀,[海淀]西二旗怡美家园｜102㎡｜2室1厅1厨2卫｜南北,70588,靠谱双卫大两居 南北双通透户型 接受换房 随时看原房
129,海淀,[海淀]西二旗上第MOMA｜129㎡｜3室1厅1厨2卫｜西东,63565,带露台，做三居，自住已换房，价格空间大，满五年，不临街
139.32,海淀,[海淀]西二旗当代城市家园｜139.32㎡｜3室2厅1厨2卫｜南北,71777,南北通透，三面采光，主卧带明卫，一梯两户，餐客分离，落地窗
207,海淀,[海淀]世纪城鲁艺上河村｜207㎡｜3室2厅1厨2卫｜南北,106280,高层观景，视野开阔，交通便利，大面宽采光好
212,海淀,[海淀]世纪城远大园五区｜212㎡｜4室2厅1厨2卫｜南北,107547,！世纪城+远大园五区+大厅双卧南+中高层
95,昌平,[昌平]回龙观云趣园三区｜95㎡｜2室1厅1厨1卫｜南北,48421,回龙观云趣园三区南北2室
149.84,海淀,[海淀]上地上地佳园｜149.84㎡｜3室2厅1厨2卫｜西南北,90096,上地佳园不临街大三居 南北通透 餐客分离 有储藏间 有车库
223.43,朝阳,[朝阳]酒仙桥阳光上东｜223.43㎡｜3室2厅1厨3卫｜南北,76086,方街组团 3面采光 带明卫 2梯2户 正规3居室
